flowering_season,plant_id,notes,origin,description,flowering,spacing,growth_rate,native,nickname,height,hebrew_name,latin_name,image_url,evergreen,duplicate_of,plant_type,water,climate_zones,resistance,duplicate_status,foliage,flower_color,uniqueness,light,letter,family,coastal,care,id,created_date,updated_date,created_by_id,created_by,is_sample
,,,,תיאור,,"מ- 20 ס""מ עד 40 ס""מ",,,,"מ- 20 ס""מ עד 50 ס""מ",חמציץ משולש,Oxalis triangularis,https://sloner.co.il/wp-content/uploads/2018/08/חמציץ-משולש1.jpg,,,,בינונית,,,,,ורוד,,צל חלקי,,,,,69a502bb74cd408d37eee71a,2026-03-02T03:23:39.128000,2026-03-02T03:23:39.128000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 40 ס""מ עד 70 ס""מ",,,,"מ- 20 ס""מ עד 50 ס""מ",חמציץ זנים שונים,Oxalis sp.,https://sloner.co.il/wp-content/uploads/2018/08/חמציץ-זנים-שונים3.jpg,,,,בינונית,,,,,שלל צבעים,,שמש מלאה,,,,,69a502b4a7ed9678133a6b13,2026-03-02T03:23:32.169000,2026-03-02T03:23:32.169000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 20 ס""מ עד 40 ס""מ",,,,"מ- 20 ס""מ עד 50 ס""מ",חמציץ וולקני 'וולווט סנסט',Oxalis vulcanicola 'Velvet sunset',https://sloner.co.il/wp-content/uploads/2018/08/חמציץ-וולקני-וולווט-סנסט1.jpg,,,,בינונית,,,,,צהוב,,שמש מלאה,,,,,69a502a32fc9d712ab9b96b9,2026-03-02T03:23:15.788000,2026-03-02T03:23:15.788000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 40 ס""מ עד 70 ס""מ",,,,"מ- 20 ס""מ עד 50 ס""מ",חמציץ בואי,Oxalis bowiei,https://sloner.co.il/wp-content/uploads/2018/08/חמציץ-בואי1.jpg,,,,בינונית,,,,,ורוד,,שמש מלאה,,,,,69a5029e54fc821b5a8463a4,2026-03-02T03:23:10.011000,2026-03-02T03:23:10.011000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,,,,,מ- 1 מטר עד 2 מטר,חמדוריאה עדינה,Chamaedorea elegans,,,,,בינונית,,,,,,,צל חלקי,,,,,69a5028c68c796b68e4b9b20,2026-03-02T03:22:52.206000,2026-03-02T03:22:52.206000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,,,,,מ- 2 מטר עד 3 מטר,חמדוריאה ספריצי,Chamaedorea seifrizii,,,,,בינונית,,,,,,,צל חלקי,,,,,69a502871a1785b6a26f18a8,2026-03-02T03:22:47.498000,2026-03-02T03:22:47.498000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 70 ס""מ עד 1 מטר",,,,"עד 20 ס""מ",חלבלוב ראש מדוזה,Euphorbia caput-medusae,https://sloner.co.il/wp-content/uploads/2018/08/חלבלוב-ראש-מדוזה1.jpg,,,,נמוכה,,,,,צהוב,,שמש מלאה,,,,,69a50282477b296acbc23c6f,2026-03-02T03:22:42.344000,2026-03-02T03:22:42.344000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,מ- 2 מטר עד 5 מטר,,,,מ- 3 מטר עד 5 מטר,חלבלוב דמוי-קוטינוס,Euphorbia cotinifolia,https://sloner.co.il/wp-content/uploads/2018/08/חלבלוב-דמוי-קוטינוס1.jpg,,,,בינונית,,,,,,,שמש מלאה,,,,,69a5026fce4f7bc7a2dc7dd1,2026-03-02T03:22:23.485000,2026-03-02T03:22:23.485000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 40 ס""מ עד 70 ס""מ",,,,"מ- 20 ס""מ עד 50 ס""מ",חלבלוב 'דיימונד פרוסט',Euphorbia 'Diamond Frost',https://sloner.co.il/wp-content/uploads/2018/08/חלבלוב-דיימונד-פרוסט4.jpg,,,,בינונית,,,,,לבן,,שמש מלאה,,,,,69a5026ac247637868f52e91,2026-03-02T03:22:18.200000,2026-03-02T03:22:18.200000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,,,,,מ- 3 מטר עד 5 מטר,חזרן תפוח-קנה,Bambusa ventricosa,,,,,גבוהה,,,,,,,שמש מלאה,,,,,69a5025e1d2ac49ca60c6702,2026-03-02T03:22:06.863000,2026-03-02T03:22:06.863000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,מ- 5 מטר עד 12 מטר,,,,"מ- 5 מטר עד 12 מטר, מ- 12 מטר ועד 20 מטר",חזרן מצוי,Bambusa vulgaris,https://sloner.co.il/wp-content/uploads/2018/08/חזרן-מצוי5.jpg,,,,גבוהה,,,,,שלל צבעים,,שמש מלאה,,,,,69a50258411de2cf00f90c0c,2026-03-02T03:22:00.429000,2026-03-02T03:22:00.429000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,מ- 1 מטר עד 1.5 מטר,,,,מ- 2 מטר עד 3 מטר,חואנולואה כתומה,Juanulloa aurantiaca,https://sloner.co.il/wp-content/uploads/2018/08/חואנולואה-כתומה-2.jpg,,,,גבוהה,,,,,כתום,,צל חלקי,,,,,69a5024d0571b30bde095ae2,2026-03-02T03:21:49.590000,2026-03-02T03:21:49.590000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 20 ס""מ עד 40 ס""מ",,,,"עד 20 ס""מ",חד-שפה זוחל 'בורגנדי גלואו',Ajuga reptans 'Burgundy Glow',https://sloner.co.il/wp-content/uploads/2018/10/חד-שפה-זוחל-בורגנדי-גלואו1.jpg,,,,בינונית,,,,,כחול,,צל חלקי,,,,,69a5023ced7bf5e1420ac7b1,2026-03-02T03:21:32.776000,2026-03-02T03:21:32.776000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 20 ס""מ עד 40 ס""מ",,,,"מ- 20 ס""מ עד 50 ס""מ",חד שפה זוחל 'ארקטיק פוקס',Ajuga reptans 'Arctic Fox',,,,,בינונית,,,,,כחול,,שמש מלאה,,,,,69a5022e3a679fea36c70831,2026-03-02T03:21:18.631000,2026-03-02T03:21:18.631000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,לא סופק תיאור,,מ- 1 מטר עד 1.5 מטר,,,,"מ- 50 ס""מ עד 1 מטר",חבושית קטנת-עלים,Cotoneaster microphyllus,,,,,נמוכה,,,,,,,שמש מלאה,,,,,69a502115536baeabc7a92e1,2026-03-02T03:20:49.518000,2026-03-02T03:20:49.518000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,מ- 2 מטר עד 5 מטר,,,,מ- 3 מטר עד 5 מטר,חבוש מוארך,Cydonia oblonga,,,,,בינונית,,,,,"לבן, קרם",,שמש מלאה,,,,,69a501faa7ed9678133a6aba,2026-03-02T03:20:26.630000,2026-03-02T03:20:26.630000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 20 ס""מ עד 40 ס""מ",,,,"מ- 20 ס""מ עד 50 ס""מ",זקן-נחש שטוח 'שחור',Ophiopogon planiscapus 'Nigresces',https://sloner.co.il/wp-content/uploads/2018/08/זקן-נחש-שטוח-שחור3.jpg,,,,גבוהה,,,,,לבן,,צל מלא,,,,,69a501f5ecfefa179f6f0648,2026-03-02T03:20:21.149000,2026-03-02T03:20:21.149000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,תיאור,,,,,,,זמיוקולקס עלה-זמיה,Zamioculcas Zamiifolia,https://sloner.co.il/wp-content/uploads/2018/08/זמיוקולקס-עלה-זמיה4.jpg,,,,נמוכה,,,,,לא משמעותי,,צל מלא,,,,,69a501d72e39367c9b9007b8,2026-03-02T03:19:51.331000,2026-03-02T03:19:51.331000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,תיאור,,מ- 1 מטר עד 1.5 מטר,,,,מ- 1 מטר עד 2 מטר,זמיה קשקשנית,Zamia furfuracea,https://sloner.co.il/wp-content/uploads/2018/10/זמיה-קשקשנית2.jpg,,,,בינונית,,,,,לא משמעותי,,שמש מלאה,,,,,69a501d1e4858be81e07c871,2026-03-02T03:19:45.167000,2026-03-02T03:19:45.167000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
